Model,,Parameters,Params_perc,Model accuracy,Reference VGG16 accuracy,F1,Size,Model,Time,Model,params,VGG 16
model_0.53.h5,0.53,8154958,55.4205294736796,94.2,94.6,0.939075630252101,31.1698379516602,model_0.53.h5,6.87060362815857,model_0.53.h5,8154958,2.44278160339715
model_0.54.h5,0.54,8540160,58.0383355732721,97.3,94.6,0.972699696663296,32.6390113830566,model_0.54.h5,7.16928955554962,model_0.54.h5,8540160,2.45159011462848
model_0.55.h5,0.55,8687532,59.0398654731925,97.8,94.6,0.977822580645161,33.2011184692383,model_0.55.h5,7.29150384902954,model_0.55.h5,8687532,2.4468989655701
model_0.56.h5,0.56,8699882,59.1237952174045,96.2,94.6,0.961460446247464,33.2482032775879,model_0.56.h5,7.44456711530685,model_0.57.h5,8699882,2.42905539717536
model_0.57.h5,0.57,8951204,60.8317621141542,95.2,94.6,0.950617283950617,34.2067985534668,model_0.57.h5,7.32158580541611,model_0.56.h5,8951204,2.40069325175176
model_0.58.h5,0.58,9040551,61.4389581348922,94.3,94.6,0.940932642487046,34.5475425720215,model_0.58.h5,7.62084597349167,model_0.58.h5,9040551,2.38454583619843
model_0.59.h5,0.59,9195756,62.4937205600282,94.5,94.6,0.94300518134715,35.139518737793,model_0.59.h5,7.66699335336685,model_0.59.h5,9195756,2.37615269704799
model_0.6.h5,0.6,9784986,66.4980868095878,94.2,94.6,0.939457202505219,37.3869209289551,model_0.6.h5,7.99565370559692,model_0.6.h5,9784986,2.33241109612419
model_0.61.h5,0.61,10050893,68.3051723556762,95.1,94.6,0.949222797927461,38.4011154174805,model_0.61.h5,8.20152673006058,model_0.61.h5,10050893,2.32450163439426
model_0.62.h5,0.62,10281982,69.8756371864629,95.2,94.6,0.950515463917526,39.2825126647949,model_0.62.h5,8.33573342084885,model_0.62.h5,10281982,2.31014641182157
model_0.63.h5,0.63,10760128,73.1250842695408,94.3,94.6,0.939809926082365,41.1062278747559,model_0.63.h5,8.63990251779556,model_0.63.h5,10760128,2.26649273153488
model_0.64.h5,0.64,10988551,74.6774311490668,95.8,94.6,0.95643153526971,41.9774932861328,model_0.64.h5,8.72558979034424,model_0.64.h5,10988551,2.26827181579114
model_0.65.h5,0.65,11127347,75.6206791472575,92.7,94.6,0.921420882669537,42.5068664550781,model_0.65.h5,8.889483294487,model_0.65.h5,11127347,2.22238080372108
model_0.66.h5,0.66,11316919,76.908997322947,97.4,94.6,0.973630831643002,43.2299270629883,model_0.66.h5,9.03086228132248,model_0.66.h5,11316919,2.26384913198543
model_0.67.h5,0.67,11501475,78.163227110218,94.5,94.6,0.942287513116474,43.9338531494141,model_0.67.h5,9.16830906867981,model_0.67.h5,11501475,2.21869577567488
model_0.68.h5,0.68,11626665,79.0140096752306,98,94.6,0.979838709677419,44.4113426208496,model_0.68.h5,9.27070704698563,model_0.68.h5,11626665,2.24925212560622
model_0.69.h5,0.69,11778126,80.0433281358055,97.5,94.6,0.974567650050864,44.9890670776367,model_0.69.h5,9.31580069541931,model_0.69.h5,11778126,2.23347749207377
model_0.7.h5,0.7,11956415,81.2549678253457,96.5,94.6,0.963954685890834,45.6691055297852,model_0.7.h5,9.36497933626175,model_0.7.h5,11956415,2.2103229904174
model_0.71.h5,0.71,12152136,82.5850741789428,97.2,94.6,0.971370143149284,46.4156074523926,model_0.71.h5,9.51359977006912,model_0.71.h5,12152136,2.20473414410628
model_0.72.h5,0.72,12291998,83.5355666392655,96.9,94.6,0.968399592252803,46.9490776062012,model_0.72.h5,9.58406634092331,model_0.72.h5,12291998,2.19214426190866
model_0.73.h5,0.73,12335613,83.8319711569827,96,94.6,0.958762886597938,47.1154327392578,model_0.73.h5,9.53819110631943,model_0.73.h5,12335613,2.17915564865592
model_0.74.h5,0.74,12446954,84.5886368776559,96.1,94.6,0.959752321981424,47.5401268005371,model_0.74.h5,9.6663051199913,model_0.74.h5,12446954,2.17261651632813
model_0.75.h5,0.75,12612395,85.7129624494927,95.3,94.6,0.951596292481977,48.1711540222168,model_0.75.h5,9.75176528215408,model_0.75.h5,12612395,2.15289770443218
model_0.76.h5,0.76,12701543,86.3188060800202,95.3,94.6,0.951295336787565,48.5111846923828,model_0.76.h5,9.76702860593796,model_0.76.h5,12701543,2.14651978225173
model_0.77.h5,0.77,12799534,86.9847461257758,95.1,94.6,0.949117341640706,48.8849487304688,model_0.77.h5,9.80197862148285,model_0.77.h5,12799534,2.13759394734426
model_0.78.h5,0.78,12975644,88.1815774823088,95.3,94.6,0.951396070320579,49.5566787719727,model_0.78.h5,9.87861652851105,model_0.78.h5,12975644,2.12799900403884
model_0.79.h5,0.79,13081292,88.899553969476,94.7,94.6,0.944849115504682,49.9596557617187,model_0.79.h5,9.89225759506226,model_0.79.h5,13081292,2.11400616790308
model_0.8.h5,0.8,13199756,89.7046271045638,94.9,94.6,0.94681960375391,50.4115028381348,model_0.8.h5,9.93153050661087,model_0.8.h5,13199756,2.10800158767129
model_0.81.h5,0.81,13319483,90.5182835001327,94.4,94.6,0.941544885177453,50.8681793212891,model_0.81.h5,10.003375825882,model_0.81.h5,13319483,2.09437969055334
model_0.82.h5,0.82,13461750,91.4851201738018,93.9,94.6,0.936125654450262,51.410831451416,model_0.82.h5,10.0823831391335,model_0.82.h5,13461750,2.07907258072791
model_0.83.h5,0.83,13569612,92.2181428515508,93.3,94.6,0.929250263991552,51.8222389221191,model_0.83.h5,10.1032658672333,model_0.83.h5,13569612,2.06458062489141
model_0.84.h5,0.84,13693433,93.0596217874276,93.2,94.6,0.928421052631579,52.2945327758789,model_0.84.h5,10.128891890049,model_0.84.h5,13693433,2.05530839985063
model_0.85.h5,0.85,13806273,93.8264746082282,92,94.6,0.914712153518124,52.7249336242676,model_0.85.h5,10.2143444633484,model_0.85.h5,13806273,2.03336087403837
model_0.86.h5,0.86,13875474,94.2967598089745,92.2,94.6,0.91684434968017,52.988883972168,model_0.86.h5,10.2273040676117,model_0.86.h5,13875474,2.03087583760097
model_0.87.h5,0.87,13980545,95.0108150441246,93,94.6,0.925847457627119,53.3896598815918,model_0.87.h5,10.2550716400146,model_0.87.h5,13980545,2.03311007544776
model_0.88.h5,0.88,14050125,95.4836759026084,91.5,94.6,0.908700322234157,53.6550636291504,model_0.88.h5,10.2708019137383,model_0.88.h5,14050125,2.01052103036594
model_0.89.h5,0.89,14125178,95.9937308898429,90.2,94.6,0.893939393939394,53.9413261413574,model_0.89.h5,10.3384363007545,model_0.89.h5,14125178,1.990047510242
model_0.90.h5,0.9,14273248,97.0000043493956,92,94.6,0.934641066257706,54.5275886535645,model_0.90.h5,10.6373571985659,model_0.90.h5,14273248,2.02278153494897
model_0.91.h5,0.91,14420394,97.9999983689766,93,94.6,0.929592956780326,55.2138511657715,model_0.91.h5,10.9362780963773,model_0.91.h5,14420394,2.00719435594999
model_0.92.h5,0.92,14567541,98.9999991844883,94.2,94.6,0.920663495444378,55.8001136779785,model_0.92.h5,11.2351989941886,model_0.92.h5,14567541,1.9874411156227
vanilla,1,14714688,100,94.6,,0.943514644351464,58.973724,vanilla,11.534119892,,,2
