Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.74_al.h5,0.74,2041021,54.4623149207596,95.21,94.2,0.951724137931034,7.81705856323242,model_0.74_al.h5,0.487633811473846,model_0.74_al.h5,2041021,2.5791369276604
model_0.75_al.h5,0.75,2094136,55.879628048364,95.25,94.2,0.951628825271471,8.01961135864258,model_0.75_al.h5,0.500212157726288,model_0.75_al.h5,2094136,2.56784805806087
model_0.76_al.h5,0.76,2154967,57.5028338257395,95.11,94.2,0.949654491609082,8.25159072875977,model_0.76_al.h5,0.520844913005829,model_0.76_al.h5,2154967,2.5529873967482
model_0.77_al.h5,0.77,2209531,58.9588118638568,95.07,94.2,0.949753694581281,8.45967102050781,model_0.77_al.h5,0.530405394077301,model_0.77_al.h5,2209531,2.54159959248315
model_0.78_al.h5,0.78,2272005,60.6258592202336,95.27,94.2,0.950884086444008,8.69791793823242,model_0.78_al.h5,0.541198805332184,model_0.78_al.h5,2272005,2.52961616955267
model_0.79_al.h5,0.79,2328018,62.120502168864,95.19,94.2,0.95387634936212,8.91152572631836,model_0.79_al.h5,0.548390820980072,model_0.79_al.h5,2328018,2.52092200677217
model_0.8_al.h5,0.8,2382944,63.5861397636451,95.17,94.2,0.953785644051131,9.12098693847656,model_0.8_al.h5,0.594873941421509,model_0.8_al.h5,2382944,2.50925656583512
model_0.81_al.h5,0.81,2447805,65.3168814895143,94.97,94.2,0.950884086444008,9.37029266357422,model_0.81_al.h5,0.571886415481567,model_0.81_al.h5,2447805,2.49258680893472
model_0.82_al.h5,0.82,2505932,66.8679341143521,95.11,94.2,0.953785644051131,9.59196472167969,model_0.82_al.h5,0.599629524230957,model_0.82_al.h5,2505932,2.483351179011
model_0.83_al.h5,0.83,2572436,68.6425174192226,94.85,94.2,0.950980392156863,9.84558486938477,model_0.83_al.h5,0.607550126552582,model_0.83_al.h5,2572436,2.46643747830019
model_0.84_al.h5,0.84,2632012,70.2322349545734,94.77,94.2,0.95387634936212,10.0727844238281,model_0.84_al.h5,0.633445355892181,model_0.84_al.h5,2632012,2.45689070158621
model_0.85_al.h5,0.85,2700159,72.0506598384453,94.89,94.2,0.954813359528487,10.3326721191406,model_0.85_al.h5,0.637543904781342,model_0.85_al.h5,2700159,2.44350728436255
