Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.69_al.h5,0.69,1779184,47.475493544641,94.7,93.14,0.947885939036381,6.81855010986328,model_0.69_al.h5,0.517710862159729,model_0.69_al.h5,1779184,2.63031046844923
model_0.7_al.h5,0.7,1835287,48.9725380405082,94.8,93.14,0.948818897637795,7.03249359130859,model_0.7_al.h5,0.534225831031799,model_0.7_al.h5,1835287,2.61945962404141
model_0.71_al.h5,0.71,1880769,50.186173278571,94.9,93.14,0.949753694581281,7.20594787597656,model_0.71_al.h5,0.587079334259033,model_0.71_al.h5,1880769,2.61084786697392
model_0.72_al.h5,0.72,1938440,51.7250580640754,95.2,93.14,0.952569169960474,7.42587280273438,model_0.72_al.h5,0.55311196565628,model_0.72_al.h5,1938440,2.60161700040216
model_0.73_al.h5,0.73,1990214,53.1065881378509,95.1,93.14,0.951628825271471,7.62331008911133,model_0.73_al.h5,0.567194728851318,model_0.73_al.h5,1990214,2.58973750751559
model_0.74_al.h5,0.74,2041021,54.4623149207596,95.1,93.14,0.951724137931034,7.81705856323242,model_0.74_al.h5,0.580272326469421,model_0.74_al.h5,2041021,2.5791369276604
model_0.75_al.h5,0.75,2094136,55.879628048364,95.1,93.14,0.951628825271471,8.01961135864258,model_0.75_al.h5,0.588022620677948,model_0.75_al.h5,2094136,2.56784805806087
model_0.76_al.h5,0.76,2154967,57.5028338257395,94.9,93.14,0.949654491609082,8.25159072875977,model_0.76_al.h5,0.613288917541504,model_0.76_al.h5,2154967,2.5529873967482
model_0.77_al.h5,0.77,2209531,58.9588118638568,94.9,93.14,0.949753694581281,8.45967102050781,model_0.77_al.h5,0.6276376080513,model_0.77_al.h5,2209531,2.54159959248315
model_0.78_al.h5,0.78,2272005,60.6258592202336,95,93.14,0.950884086444008,8.69791793823242,model_0.78_al.h5,0.644882292747498,model_0.78_al.h5,2272005,2.52961616955267
model_0.79_al.h5,0.79,2328018,62.120502168864,95.3,93.14,0.95387634936212,8.91152572631836,model_0.79_al.h5,0.649516055583954,model_0.79_al.h5,2328018,2.52092200677217
model_0.8_al.h5,0.8,2382944,63.5861397636451,95.3,93.14,0.953785644051131,9.12098693847656,model_0.8_al.h5,0.694355115890503,model_0.8_al.h5,2382944,2.50925656583512
model_0.81_al.h5,0.81,2447805,65.3168814895143,95,93.14,0.950884086444008,9.37029266357422,model_0.81_al.h5,0.675907125473022,model_0.81_al.h5,2447805,2.49258680893472
model_0.82_al.h5,0.82,2505932,66.8679341143521,95.3,93.14,0.953785644051131,9.59196472167969,model_0.82_al.h5,0.706352643966675,model_0.82_al.h5,2505932,2.483351179011
model_0.83_al.h5,0.83,2572436,68.6425174192226,95,93.14,0.950980392156863,9.84558486938477,model_0.83_al.h5,0.709870777130127,model_0.83_al.h5,2572436,2.46643747830019
model_0.84_al.h5,0.84,2632012,70.2322349545734,95.3,93.14,0.95387634936212,10.0727844238281,model_0.84_al.h5,0.734364583492279,model_0.84_al.h5,2632012,2.45689070158621
model_0.85_al.h5,0.85,2700159,72.0506598384453,95.4,93.14,0.954813359528487,10.3326721191406,model_0.85_al.h5,0.747294521331787,model_0.85_al.h5,2700159,2.44350728436255
model_0.86_al.h5,0.86,2751309,73.4155391847121,95.4,93.14,0.954635108481262,10.5277366638184,model_0.86_al.h5,0.757373685836792,model_0.86_al.h5,2751309,2.43254435786287
model_0.87_al.h5,0.87,2820973,75.2744434814537,95.7,93.14,0.957635467980295,10.7934112548828,model_0.87_al.h5,0.770667850971222,model_0.87_al.h5,2820973,2.42098342382993
model_0.88_al.h5,0.88,2883339,76.9386089811462,95.2,93.14,0.952755905511811,11.0312538146973,model_0.88_al.h5,0.800784063339233,model_0.88_al.h5,2883339,2.40278768640442
model_0.89_al.h5,0.89,2954646,78.8413548568891,95.2,93.14,0.952755905511811,11.3031959533691,model_0.89_al.h5,0.816324677467346,model_0.89_al.h5,2954646,2.38776804694149
model_0.9_al.h5,0.9,3026823,80.7673156892547,95.8,93.14,0.958823529411765,11.5784568786621,model_0.9_al.h5,1.13486544847488,model_0.9_al.h5,3026823,2.37886137471236
model_0.91_al.h5,0.91,3085243,82.3261866845413,95.8,93.14,0.958742632612967,11.8012657165527,model_0.91_al.h5,0.764565055370331,model_0.91_al.h5,3085243,2.36647038189037
model_0.92_al.h5,0.92,3148411,84.0117526384999,96.2,93.14,0.962671905697446,12.0421676635742,model_0.92_al.h5,1.01200948238373,model_0.92_al.h5,3148411,2.35723975730607
model_0.93_al.h5,0.93,3214290,85.7696585320036,96,93.14,0.96078431372549,12.2934112548828,model_0.93_al.h5,0.952467999458313,model_0.93_al.h5,3214290,2.34140780316018
model_0.94_al.h5,0.94,3289552,87.7779390668762,95.6,93.14,0.956435643564356,12.5804405212402,model_0.94_al.h5,0.978941395282745,model_0.94_al.h5,3289552,2.3210356914807
model_0.95_al.h5,0.95,3356880,89.5745098708928,95.6,93.14,0.956777996070727,12.8372116088867,model_0.95_al.h5,1.00136167526245,model_0.95_al.h5,3356880,2.30721720865389
model_0.96_al.h5,0.96,3433785,91.6266319847667,95.7,93.14,0.957298907646475,13.1305084228516,model_0.96_al.h5,1.02171281099319,model_0.96_al.h5,3433785,2.29154781383877
model_0.97_al.h5,0.97,3502562,93.4618676992964,95.7,93.14,0.95771878072763,13.3928070068359,model_0.97_al.h5,1.04706479072571,model_0.97_al.h5,3502562,2.27750632947795
model_0.98_al.h5,0.98,3569849,95.2573444651274,95.9,93.14,0.95968534906588,13.6494216918945,model_0.98_al.h5,1.10398660898209,model_0.98_al.h5,3569849,2.26537281966269
alex_full,1.0,3747584,100,93.14,0,0,0,0,0,0,0,0
